Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
ABSTRACT, A,8,12,42
ABSTRACTED, A,10,15,51
ABSTRACTEDLY, A,12,20,68
ABSTRACTEDNESS, A,14,19,63
ABSTRACTER, A,10,14,48
ABSTRACTION, A,11,15,51
ABSTRACTIONAL, A,13,17,57
ABSTRACTIONISM, A,14,20,66
ABSTRACTIONIST, A,14,18,60
ABSTRACTITIOUS, A,14,18,60
ABSTRACTIVE, A,11,18,62
ABSTRACTIVELY, A,13,23,77
ABSTRACTLY, A,10,17,59
ABSTRACTNESS, A,12,16,54
ABSTRACTOR, A,10,14,48
ABSTRAHENT, A,10,15,53
ABSTRICTED, A,10,15,51
ABSTRICTION, A,11,15,51
ABSTRUSE, A,8,10,36
ABSTRUSELY, A,10,15,53
ABSTRUSION, A,10,12,42
ABSTRUSITY, A,10,15,53
ABSUME, A,6,10,26
ABSUMPTION, A,10,16,54
ABSURD, A,6,9,24
ABSURDITY, A,9,15,53
ABSURDLY, A,8,14,50
ABSURDNESS, A,10,13,45
ABSVOLT, A,7,12,36
ABSYRTUS, A,8,13,47
ABTERMINAL, A,10,14,48
ABTHAIN, A,7,12,36
ABTHAINRIE, A,10,15,53
ABTHAINRY, A,9,17,59
ABTHANAGE, A,9,15,53
ABULIA, A,6,8,22
ABULIC, A,6,10,26
ABULOMANIA, A,10,14,48
ABUNDANCE, A,9,14,48
ABUNDANCY, A,9,17,59
ABUNDANT, A,8,11,39
ABUNDANTIA, A,10,13,45
ABUNDANTLY, A,10,16,56
ABURST, A,6,8,22
ABURTON, A,7,9,27
ABUSEDLY, A,8,14,50
ABUSEE, A,6,8,22
ABUSEFUL, A,8,13,47
ABUSEFULLY, A,10,18,62
ABUSEFULNESS, A,12,17,59
ABUSER, A,6,8,22
ABUSION, A,7,9,27
ABUSIOUS, A,8,10,36
ABUSIVE, A,7,12,36
ABUSIVELY, A,9,17,59
ABUSIVENESS, A,11,16,56
ABUTILON, A,8,10,36
ABUTMENT, A,8,12,42
ABUTTAL, A,7,9,27
ABUTTER, A,7,9,27
ABUTTING, A,8,11,39
ABVOLT, A,6,11,30
ABY, A,3,8,20
ABYSM, A,5,12,24
ABYSMAL, A,7,14,40
ABYSS, A,5,10,20
ABYSSAL, A,7,12,36
ABYSSINIAN, A,10,15,53
ABYSSOLITH, A,10,18,62
ABYSSOPELAGIC, A,13,23,77
ACADEME, A,7,12,33
ACADEMIAL, A,9,14,48
ACADEMIAN, A,9,14,48
ACADEMIST, A,9,14,48
ACADEMITE, A,9,14,48
ACADEMUS, A,8,13,45
ACADEMY, A,7,15,42
ACADIA, A,6,9,24
ACADIALITE, A,10,13,45
ACADIAN, A,7,10,29
ACADIE, A,6,9,24
ACAENA, A,6,8,22
ACALEPH, A,7,14,40
ACALEPHA, A,8,15,53
ACALEPHAE, A,9,16,56
ACALEPHAN, A,9,16,56
ACALEPHOID, A,10,18,62
ACALYPHA, A,8,18,62
ACALYPTERAE, A,11,18,62
ACALYPTRATA, A,11,18,62
ACALYPTRATAE, A,12,19,65
ACALYPTRATE, A,11,18,62
ACAMAR, A,6,10,26
ACAMPSIA, A,8,14,48
ACANTH, A,6,11,30
ACANTHA, A,7,12,36
ACANTHAD, A,8,14,50
ACANTHARIA, A,10,15,53
ACANTHIA, A,8,13,47
ACANTHIAL, A,9,14,50
ACANTHIN, A,8,13,47
ACANTHINE, A,9,14,50
ACANTHION, A,9,14,50
ACANTHITE, A,9,14,50
ACANTHODEA, A,10,16,56
ACANTHODEAN, A,11,17,59
ACANTHODEI, A,10,16,56
ACANTHODES, A,10,16,56
ACANTHODIAN, A,11,17,59
ACANTHODIDAE, A,12,19,65
ACANTHODII, A,10,16,56
ACANTHODINI, A,11,17,59
ACANTHOID, A,9,15,53
ACANTHOLIMON, A,12,19,65
ACANTHOLOGY, A,11,20,68
ACANTHOLYSIS, A,12,20,68
ACANTHOMA, A,9,16,56
ACANTHOMERIDAE, A,14,22,74
ACANTHON, A,8,13,47
ACANTHOPOD, A,10,18,62
ACANTHOPODOUS, A,13,21,71
ACANTHOPORE, A,11,18,62
ACANTHOPTERAN, A,13,20,68
ACANTHOPTERI, A,12,19,65
ACANTHOPTEROUS, A,14,21,71
ACANTHOSIS, A,10,15,53
ACANTHOUS, A,9,14,50
ACANTHURIDAE, A,12,18,62
ACANTHURUS, A,10,15,53
ACANTHUS, A,8,13,47
ACAPNIA, A,7,11,31
ACAPNIAL, A,8,12,42
ACAPSULAR, A,9,13,45
ACARAPIS, A,8,12,42
ACARDIA, A,7,10,29
ACARIAN, A,7,9,27
ACARIASIS, A,9,11,39
ACARID, A,6,9,24
ACARIDA, A,7,10,29
ACARIDEA, A,8,11,39
ACARIDEAN, A,9,12,42
ACARIFORM, A,9,16,56
ACARINA, A,7,9,27
ACARINE, A,7,9,27
ACARINOSIS, A,10,12,42
ACAROID, A,7,10,29
ACAROL, A,6,8,22
ACAROLOGIST, A,11,14,48
ACAROLOGY, A,9,15,53
ACAROPHILOUS, A,12,19,65
ACAROPHOBIA, A,11,20,68
ACARPELOUS, A,10,14,48
ACARPOUS, A,8,12,42
ACARUS, A,6,8,22
ACASTUS, A,7,9,27
ACATALEPSIA, A,11,15,51
ACATALEPSY, A,10,17,59
ACATAMATHESIA, A,13,20,68
ACATAPHASIA, A,11,18,62
ACATAPOSIS, A,10,14,48
ACATASTASIA, A,11,13,45
ACATERY, A,7,12,36
ACATHARSIA, A,10,15,53
ACATHARSY, A,9,17,59
ACAUDAL, A,7,10,29
ACAUDATE, A,8,11,39
ACAULINE, A,8,10,36
ACAULOSE, A,8,10,36
ACAULOUS, A,8,10,36
ACEANTHRENE, A,11,16,56
ACEDIA, A,6,9,24
ACEDIAMINE, A,10,15,51
ACEDIAST, A,8,11,39
ACEDY, A,5,11,22
ACELDAMA, A,8,13,45
ACEMETAE, A,8,12,42
ACENTROUS, A,9,11,39
ACEOLOGY, A,8,14,50
ACEPHAL, A,7,14,40
ACEPHALA, A,8,15,53
ACEPHALAN, A,9,16,56
ACEPHALI, A,8,15,53
ACEPHALIA, A,9,16,56
ACEPHALINA, A,10,17,59
ACEPHALINE, A,10,17,59
ACEPHALISM, A,10,19,65
ACEPHALIST, A,10,17,59
ACEPHALITE, A,10,17,59
ACEPHALOUS, A,10,17,59
ACEPHALUS, A,9,16,56
ACERAE, A,6,8,22
ACERATA, A,7,9,27
ACERATE, A,7,9,27
ACERATES, A,8,10,36
ACERATHERE, A,10,15,53
ACERATHERIUM, A,12,19,65
ACERATOSIS, A,10,12,42
ACERBAS, A,7,11,31
ACERBATE, A,8,12,42
ACERBITY, A,8,15,53
ACERDOL, A,7,10,29
ACERIN, A,6,8,22
ACEROSE, A,7,9,27
ACEROUS, A,7,9,27
ACERRA, A,6,8,22
ACERTANNIN, A,10,12,42
ACERVATE, A,8,13,47
ACERVATELY, A,10,18,62
ACERVATION, A,10,15,53
ACERVOSE, A,8,13,47
ACERVULINE, A,10,15,53
ACERVULUS, A,9,14,50
ACESHIP, A,7,14,40
ACESODYNE, A,9,15,53
ACESTES, A,7,9,27
ACETABULAR, A,10,14,48
ACETABULARIA, A,12,16,54
ACETABULIFORM, A,13,22,74
ACETABULOUS, A,11,15,51
ACETABULUM, A,10,16,54
ACETAL, A,6,8,22
ACETALDEHYDASE, A,14,24,80
ACETALDEHYDE, A,12,22,74
ACETAMIDE, A,9,14,48
ACETAMIDIN, A,10,15,51
ACETAMIDINE, A,11,16,54
ACETAMIDO, A,9,14,48
ACETAMINOL, A,10,14,48
ACETANILID, A,10,13,45
ACETANILIDE, A,11,14,48
ACETANION, A,9,11,39
ACETANISIDE, A,11,14,48
ACETANISIDIDE, A,13,17,57
ACETANNIN, A,9,11,39
ACETARIOUS, A,10,12,42
ACETARSONE, A,10,12,42
ACETATE, A,7,9,27
ACETATED, A,8,11,39
ACETATION, A,9,11,39
ACETENYL, A,8,13,47
ACETIFIER, A,9,14,50
ACETIFY, A,7,15,42
ACETIMETER, A,10,14,48
ACETIMETRY, A,10,17,59
ACETIN, A,6,8,22
ACETOARSENITE, A,13,15,51
ACETOIN, A,7,9,27
ACETOL, A,6,8,22
ACETOLYSIS, A,10,15,53
ACETOMETER, A,10,14,48
ACETOMETRY, A,10,17,59
ACETOMORPHINE, A,13,22,74
ACETONATE, A,9,11,39
ACETONATION, A,11,13,45
ACETONE, A,7,9,27
ACETONEMIA, A,10,14,48
ACETONITRILE, A,12,14,48
ACETONURIA, A,10,12,42
ACETONUROMETER, A,14,18,60
ACETONYL, A,8,13,47
ACETONYLIDENE, A,13,19,65
ACETOPHENETIDE, A,14,22,74
ACETOPHENIN, A,11,18,62
ACETOPHENINE, A,12,19,65
ACETOPHENONE, A,12,19,65
ACETOPYRIN, A,10,17,59
ACETOSE, A,7,9,27
ACETOSITY, A,9,14,50
ACETOSOLUBLE, A,12,16,54
ACETOTHIENONE, A,13,18,62
ACETOTOLUIDE, A,12,15,51
ACETOTOLUIDINE, A,14,17,57
ACETOUS, A,7,9,27
ACETOVERATRONE, A,14,19,65
ACETPHENETID, A,12,20,68
ACETPHENETIDIN, A,14,22,74
ACETTOLUIDE, A,11,14,48
ACETUM, A,6,10,26
ACETYL, A,6,11,30
ACETYLAMINE, A,11,18,62
ACETYLATE, A,9,14,50
ACETYLATION, A,11,16,56
ACETYLATOR, A,10,15,53
ACETYLBIURET, A,12,19,65
ACETYLENATION, A,13,18,62
ACETYLENE, A,9,14,50
ACETYLFLUORIDE, A,14,23,77
ACETYLIDE, A,9,15,53
ACETYLIODIDE, A,12,19,65
ACETYLPHENOL, A,12,22,74
ACETYLSALOL, A,11,16,56
ACETYLTANNIN, A,12,17,59
ACETYLTROPEINE, A,14,21,71
ACETYLUREA, A,10,15,53
ACH, A,3,8,20
ACHAEAN, A,7,12,36
ACHAEMENIAN, A,11,18,62
ACHAEMENID, A,10,18,62
ACHAEMENIDAE, A,12,20,68
ACHAEMENIDIAN, A,13,21,71
ACHAENODON, A,10,16,56
ACHAETA, A,7,12,36
ACHAETOUS, A,9,14,50
ACHAGE, A,6,12,32
ACHAGUA, A,7,13,38
ACHALASIA, A,9,14,50
ACHANGO, A,7,13,38
ACHAR, A,5,10,20
ACHATE, A,6,11,30
ACHATES, A,7,12,36
ACHATINA, A,8,13,47
ACHATINELLA, A,11,16,56
ACHATINIDAE, A,11,17,59
ACHEILIA, A,8,13,47
ACHEILOUS, A,9,14,50
ACHEIRIA, A,8,13,47
ACHEIROUS, A,9,14,50
ACHEIRUS, A,8,13,47
ACHEN, A,5,10,20
ACHENE, A,6,11,30
ACHENIAL, A,8,13,47
ACHENIUM, A,8,15,53
ACHENODIUM, A,10,18,62
ACHER, A,5,10,20
ACHERNAR, A,8,13,47
ACHERONIAN, A,10,15,53
ACHETE, A,6,11,30
ACHETIDAE, A,9,15,53
ACHEULEAN, A,9,14,50
ACHEWEED, A,8,17,59
ACHIEVABLE, A,10,20,68
ACHIEVE, A,7,15,42
ACHIEVEMENT, A,11,21,71
ACHIEVER, A,8,16,56
ACHIGAN, A,7,13,38
ACHILARY, A,8,16,56
ACHILL, A,6,11,30
ACHILLEA, A,8,13,47
ACHILLEAN, A,9,14,50
ACHILLEID, A,9,15,53
ACHILLEINE, A,10,15,53
